slug,title,page_type,primary_query,search_intent,applies_to,priority_1_to_5,source_url,monetization_angle,notes
proxmox-sata-ssd-vs-hdd,Proxmox SATA SSD vs HDD Storage,comparison,proxmox ssd vs hdd,choose SSD or HDD for Proxmox storage,Proxmox storage,4,https://pve.proxmox.com/pve-docs/chapter-storage.html,SSD affiliate,Buyer comparison
proxmox-usb-drive-storage,USB Drive Storage For Proxmox,storage_fit,proxmox usb drive storage,decide whether USB storage fits Proxmox,External USB storage,4,https://pve.proxmox.com/pve-docs/chapter-storage.html,external drive affiliate,Risk-heavy page
proxmox-nas-vm-disk-ownership,NAS VM Disk Ownership On Proxmox,storage_fit,proxmox nas vm disk ownership,avoid split disk ownership,Proxmox NAS VM storage,5,https://pve.proxmox.com/pve-docs/chapter-storage.html,remote support,Strong unique value
proxmox-backup-server-mini-pc,Proxmox Backup Server On Mini PC,ops_checklist,proxmox backup server mini pc,run PBS on a mini PC,Proxmox Backup Server,4,https://pbs.proxmox.com/docs/,backup affiliate,Adjacent product page
proxmox-restore-test-checklist,Proxmox Restore Test Checklist,ops_checklist,proxmox restore test,verify backups with restore test,Proxmox backups,5,https://pbs.proxmox.com/docs/,backup affiliate,Trust page
proxmox-update-checklist,Proxmox Update Checklist,ops_checklist,proxmox update checklist,prepare safe Proxmox updates,Proxmox operations,4,https://pve.proxmox.com/pve-docs/,remote support,Retention page
proxmox-power-loss-recovery,Proxmox Power Loss Recovery Checklist,ops_checklist,proxmox power loss recovery,prepare homelab for power loss,UPS and recovery,4,https://pve.proxmox.com/pve-docs/,UPS affiliate,Power page
proxmox-firewall-vm-pfsense,Proxmox pfSense VM Checklist,buyer_checklist,proxmox pfsense vm,plan pfSense VM on Proxmox,Firewall VM,4,https://pve.proxmox.com/pve-docs/,NIC affiliate,Firewall query
proxmox-opnsense-vm-checklist,Proxmox OPNsense VM Checklist,buyer_checklist,proxmox opnsense vm,plan OPNsense VM on Proxmox,Firewall VM,4,https://pve.proxmox.com/pve-docs/,NIC affiliate,Firewall query
proxmox-home-assistant-vm,Home Assistant VM On Proxmox Checklist,buyer_checklist,home assistant proxmox vm,plan Home Assistant VM on Proxmox,Home Assistant VM,4,https://pve.proxmox.com/pve-docs/,smart home affiliate,Adjacent smart home query
proxmox-jellyfin-hardware,Proxmox Jellyfin Hardware Fit,buyer_checklist,proxmox jellyfin hardware,choose hardware for Jellyfin on Proxmox,Media server,4,https://pve.proxmox.com/pve-docs/,mini PC affiliate,Media workload page
proxmox-blue-iris-hardware,Proxmox Blue Iris Hardware Fit,buyer_checklist,proxmox blue iris hardware,choose hardware for Blue Iris VM,Surveillance VM,3,https://pve.proxmox.com/pve-docs/,storage affiliate,Windows VM workload
proxmox-frigate-coral-passthrough,Frigate Coral Passthrough On Proxmox,passthrough_fit,proxmox coral passthrough,plan Coral TPU passthrough,USB or PCIe Coral,4,https://pve.proxmox.com/wiki/PCI%28e%29_Passthrough,smart home affiliate,AI camera use case
proxmox-usb-zigbee-passthrough,Zigbee USB Passthrough On Proxmox,passthrough_fit,proxmox zigbee usb passthrough,plan Zigbee coordinator passthrough,USB passthrough,4,https://pve.proxmox.com/pve-docs/,smart home affiliate,Home Assistant page
proxmox-usb-coral-passthrough,USB Coral Passthrough On Proxmox,passthrough_fit,proxmox usb coral passthrough,plan USB Coral passthrough,USB passthrough,3,https://pve.proxmox.com/pve-docs/,smart home affiliate,Frigate support page
proxmox-gpu-transcoding-passthrough,GPU Transcoding Passthrough On Proxmox,passthrough_fit,proxmox gpu transcoding passthrough,plan GPU passthrough for transcoding,GPU passthrough,4,https://pve.proxmox.com/wiki/PCI%28e%29_Passthrough,GPU affiliate,Media server page
proxmox-n100-vs-n305,N100 vs N305 For Proxmox,comparison,n100 vs n305 proxmox,choose N100 or N305 for Proxmox,Alder Lake-N mini PCs,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,High buyer comparison
proxmox-mini-pc-vs-used-server,Mini PC vs Used Server For Proxmox,comparison,mini pc vs server proxmox,choose mini PC or used server,Homelab hardware,5,https://www.proxmox.com/en/proxmox-ve/requirements,hardware affiliate,Buyer comparison
proxmox-ecc-ram-homelab,ECC RAM For Proxmox Homelab,comparison,proxmox ecc ram,decide whether ECC RAM matters,Homelab memory,4,https://www.proxmox.com/en/proxmox-ve/requirements,RAM affiliate,Trust topic
proxmox-32gb-vs-64gb-ram,32GB vs 64GB RAM For Proxmox,comparison,32gb vs 64gb proxmox,choose RAM capacity for Proxmox,Homelab RAM,4,https://www.proxmox.com/en/proxmox-ve/requirements,RAM affiliate,Commercial query
proxmox-single-node-vs-cluster,Single Node vs Cluster Proxmox Homelab,comparison,proxmox single node vs cluster,choose single node or cluster,Proxmox cluster,4,https://pve.proxmox.com/pve-docs/chapter-pvecm.html,mini PC affiliate,Cluster decision
proxmox-ha-with-mini-pcs,Proxmox HA With Mini PCs,ops_checklist,proxmox ha mini pc,plan HA expectations with mini PCs,Proxmox cluster,3,https://pve.proxmox.com/pve-docs/chapter-ha-manager.html,mini PC affiliate,Advanced cluster page
proxmox-ceph-mini-pc,Ceph On Mini PC Proxmox Cluster,storage_fit,proxmox ceph mini pc,decide whether Ceph fits mini PCs,Proxmox Ceph,3,https://pve.proxmox.com/pve-docs/chapter-pveceph.html,SSD affiliate,Advanced storage page
